"employeeID";"employeeRestaurant"
1000;100
1001;100
1002;100
1003;100
1004;100
1005;100
1006;100
1007;100
1008;100
1009;100
1010;100
1011;100
1012;100
1013;100
1014;100
1015;100
1016;100
1017;100
1018;100
1019;100
1020;100
1021;100
1022;100
1023;101
1024;101
1025;101
1026;101
1027;101
1028;101
1029;101
1030;101
1031;101
1032;101
1033;101
1034;101
1035;101
1036;101
1037;101
1038;101
1039;101
1040;101
1041;101
1042;101
1043;101
1044;102
1045;102
1046;102
1047;102
1048;102
1049;102
1050;102
1051;102
1052;102
1053;102
1054;102
1055;102
1056;102
1057;102
1058;102
1059;102
1060;102
1061;102
1062;102
1063;102
1064;102
1065;102
1066;102
1067;102
1068;102
1069;103
1070;103
1071;103
1072;103
1073;103
1074;103
1075;103
1076;103
1077;103
1078;103
1079;103
1080;103
1081;103
1082;103
1083;103
1084;103
1085;103
1086;103
1087;103
1088;103
1089;103
1090;103
1091;103
