"itemName";"itemPrice";"itemType"
"10 Piece Nuggets";4.0;"Food"
"3 Cookies";1.0;"Food"
"4 for 4 combo";4.0;"Food"
"Bacon Clubhouse Burger";4.0;"Food"
"Baconator";6.0;"Food"
"Baja Blast Freeze";3.0;"Drink"
"Bean Burrito";1.0;"Food"
"Beefy Five Layer Burrito";2.0;"Food"
"Beefy Fritos Burrito";1.0;"Food"
"Beefy Nacho Griller";2.0;"Food"
"Big Mac";4.0;"Food"
"Burrito Supreme";3.0;"Food"
"Caeser Side Salad";1.0;"Food"
"Cheese Fries";2.0;"Food"
"Cheesy Gordita Crunch";4.0;"Food"
"Chicken Nuggets";4.0;"Food"
"Chicken Quesadilla";4.0;"Food"
"Chicken Sandwich";4.0;"Food"
"Chicken Strips";4.0;"Food"
"Chicken Wrap";4.0;"Food"
"Chili";2.0;"Food"
"Chocolate Chip Cookie";1.0;"Food"
"Cobb Salad";8.0;"Food"
"Cone";1.0;"Food"
"Crunchwrap Supreme";4.0;"Food"
"Crunchy Taco";1.0;"Food"
"Crunchy Taco Supreme";2.0;"Food"
"Daves Double with Cheese";5.0;"Food"
"Daves Single with Cheese";4.0;"Food"
"Daves Triple with Cheese";6.0;"Food"
"Deluxe Sandwich";4.0;"Food"
"Doritos Locos Taco";2.0;"Food"
"Double Cheeseburger";2.0;"Food"
"Espresso";3.0;"Drink"
"Filet O Fish";4.0;"Food"
"Fountain Drink";2.0;"Drink"
"Frappe";3.0;"Drink"
"Frosted Coffee";3.0;"Drink"
"Frosty";2.0;"Drink"
"Fruit Cup";3.0;"Food"
"Grilled Chicken Club";7.0;"Food"
"Grilled Chicken Sandwich";5.0;"Food"
"Grilled Chicken Wrap";6.0;"Food"
"Grilled Nuggets";5.0;"Food"
"Homestyle Chicken";5.0;"Food"
"Hot Coffee";1.0;"Drink"
"Jr Cheeseburger Deluxe";2.0;"Food"
"Large Fries";2.0;"Food"
"Mac and Cheese";3.0;"Food"
"McChicken";1.0;"Food"
"McDouble";1.0;"Food"
"Medium Fries";2.0;"Food"
"Milkshake";3.0;"Drink"
"Nachos Bellgrande";4.0;"Food"
"Quarter Pounder with Cheese";4.0;"Food"
"Quesarito";3.0;"Food"
"Seven Layer Burrito";3.0;"Food"
"Small Fries";2.0;"Food"
"Smoothie";2.0;"Drink"
"Soft Drink";1.0;"Drink"
"Soft Taco";1.0;"Food"
"Soft Taco Supreme";2.0;"Food"
"Son of Baconator";5.0;"Food"
"Southwest Salad";5.0;"Food"
"Spicy Chicken";5.0;"Food"
"Spicy Chicken Sandwich";4.0;"Food"
"Spicy Deluxe Sandwich";5.0;"Food"
"Spicy Potato Soft Taco";1.0;"Food"
"Spicy Southwest Salad";8.0;"Food"
"Ten Piece Nuggets";6.0;"Food"
"Waffle Fries";2.0;"Food"
